,coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_screen_name,user_description,user_followers_count,user_friends_count,user_location,user_screen_name.1,user_statuses_count,user_verified
2131,,Thu Apr 23 00:00:50 +0000 2020,,,,0,1253111550602129410,,,,und,105076,1.2530749338544128e+18,kittheedisaster,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rt @keith_dude: https://t.co/qmxgjfyzjs,https://twitter.com/kaydynb/status/1253111550602129410,kaydynb,UFV | 19,415,491,she/her • canada,kaydynb,23777,False
10925,,Thu Apr 23 00:21:24 +0000 2020,BecauseOfCourse,,,0,1253116729074413569,,,,und,21,1.2530897171024855e+18,aurora_phlox,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",rt @aurora_phlox: #becauseofcourse,https://twitter.com/Cindoie/status/1253116729074413569,Cindoie,,259,292,canada,Cindoie,131199,False
29456,,Thu Apr 23 00:45:41 +0000 2020,,,,0,1253122840683044866,,,,en,17,1.2529711359157903e+18,gofundme,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rt @gofundme: never one to shy away from discussing her own struggles with mental health, demi is urging others to ""take that first step in",https://twitter.com/iLive4_Myself/status/1253122840683044866,iLive4_Myself,bitch don’t kill my vibe ya tried ~fan account~,3527,2272,canada,iLive4_Myself,669897,False
735,,Thu Apr 23 00:00:17 +0000 2020,COVID19,,,0,1253111415277305861,,,,es,33,1.2530811161411256e+18,EICEES,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rt @eicees: las cabinas mviles de diagnstico de #covid19 nos permiten hacer pruebas sin contacto directo. as protegemos al personal mdi,https://twitter.com/crackerbass/status/1253111415277305861,crackerbass,What the hell I'm doing here... ♪,18,140,Finlandia,crackerbass,1142,False
1199,,Thu Apr 23 00:00:29 +0000 2020,,,,0,1253111466011615234,,,,pt,27,1.2530948426217062e+18,jisoosplace,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rt @jisoosplace: ""o surto do corona vrus pode ter sido um dos motivos pelos quais o comeback do blackpink, que deveria ocorrer no comeo d",https://twitter.com/Iisasvie/status/1253111466011615234,Iisasvie,•⠀ ⬫˙ ۪۰   𝗰𝗵𝗮𝗲𝘆𝗼𝘂𝗻𝗴 ﹕       ꗃ    𝗵𝗈𝗆𝗲. 🏡,399,356,only blink ,Iisasvie,23358,False
1704,,Thu Apr 23 00:00:40 +0000 2020,AbilitiesExpo socialdistancing,,,0,1253111511813406725,,,,en,1,1.2530321940768604e+18,AbilitiesExpo,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rt @abilitiesexpo: happy earth day, #abilitiesexpo family! we hope you can enjoy the outdoors today (while #socialdistancing). post pics! ",https://twitter.com/UltimateHomeGym/status/1253111511813406725,UltimateHomeGym,Busy moms & caregivers! Get your loved ones the ultimate fitness and rehab strength system on earth!    https://t.co/Gi52cyd4y5 (Run by CEO Assistants),520,4551,Online,UltimateHomeGym,5124,False
1891,,Thu Apr 23 00:00:46 +0000 2020,,,https://yhoo.it/2zkyBUN,0,1253111537738317824,,,,en,4,1.253109342506754e+18,YahooFinance,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",rt @yahoofinance: trump's anger toward harvard highlights dysfunction amid coronavirus response https://t.co/u7adr2e7rh by @aarthiswami htt,https://twitter.com/Retirefund/status/1253111537738317824,Retirefund,"What are your clients doing?

""AFTER WORK""!

Investing, stocks, real estate, gold, cryptos, domains, ETFs, Funds, Technology, AI,",1240,503,Online,Retirefund,46623,False
4293,,Thu Apr 23 00:01:45 +0000 2020,,,,0,1253111784388677632,,,,en,1497,1.253085184783782e+18,RadioFreeTom,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rt @radiofreetom: this is a serious humiliation of the cdc director by a complete ignoramus.,https://twitter.com/5fabmeows/status/1253111784388677632,5fabmeows,"Mom to 3 wonderful little boys, wife, Ironman, crazy cat lady. I am here for the news and funny and witty tweets. Mostly retweet shit.",125,181,"Stanley, WI",5fabmeows,45924,False
6215,,Thu Apr 23 00:02:31 +0000 2020,,,,0,1253111977083363330,,,,en,616,1.2530136533448008e+18,jennycohn1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",rt @jennycohn1: do not let the mercers fake reopen protests obscure the fact that the us still has a fraction of the testing capacity an,https://twitter.com/Birchbark_Canoe/status/1253111977083363330,Birchbark_Canoe,"without nature, who needs a window?  .................If you put me on a list without asking I will block you.",2660,4984,photos are mine unless noted,Birchbark_Canoe,87157,False
6869,,Thu Apr 23 00:02:46 +0000 2020,,,,0,1253112041125994498,,,,en,13,1.2530977541563474e+18,ColinKahl,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rt @colinkahl: for more on the possible geopolitical consequences, see my latest with @arianaberengaut via @warontherocks https://t.co/exzr",https://twitter.com/EliSugarman/status/1253112041125994498,EliSugarman,Director of the Cyber Initiative @ Hewlett Foundation; former Chargers fan; I aspire to name my dog #Chewbacca; tweets are my own and rt is not endorsement.,2796,1966,"Menlo Park, CA",EliSugarman,39961,False
