,coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_screen_name,user_description,user_followers_count,user_friends_count,user_location,user_screen_name.1,user_statuses_count,user_verified
2131,,Thu Apr 23 00:00:50 +0000 2020,,,,0,1253111550602129410,,,,und,105076,1.2530749338544128e+18,kittheedisaster,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rt @keith_dude: https://t.co/qmxgjfyzjs,https://twitter.com/kaydynb/status/1253111550602129410,kaydynb,UFV | 19,415,491,she/her • canada,kaydynb,23777,False
10925,,Thu Apr 23 00:21:24 +0000 2020,BecauseOfCourse,,,0,1253116729074413569,,,,und,21,1.2530897171024855e+18,aurora_phlox,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",rt @aurora_phlox: #becauseofcourse,https://twitter.com/Cindoie/status/1253116729074413569,Cindoie,,259,292,canada,Cindoie,131199,False
29456,,Thu Apr 23 00:45:41 +0000 2020,,,,0,1253122840683044866,,,,en,17,1.2529711359157903e+18,gofundme,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rt @gofundme: never one to shy away from discussing her own struggles with mental health, demi is urging others to ""take that first step in",https://twitter.com/iLive4_Myself/status/1253122840683044866,iLive4_Myself,bitch don’t kill my vibe ya tried ~fan account~,3527,2272,canada,iLive4_Myself,669897,False
29683,,Thu Apr 23 00:45:46 +0000 2020,,,,0,1253122861574901761,,,,en,318,1.2531044107476992e+18,MikeHudema,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rt @mikehudema: as we stay at home to protect each other, nature is reemerging in cities all of the world. we're all on this planet togeth",https://twitter.com/redwingjohnny/status/1253122861574901761,redwingjohnny,Just a city boy....... Born and raised in South Detroit.  life long Detroit Red Wing fan.  Je suis la résistance    #TheResistance   #FBR  #BLM,4077,3903,"windsor, ontario",redwingjohnny,37541,False
29620,,Thu Apr 23 00:45:45 +0000 2020,,,,0,1253122857267159040,,,,en,5500,1.2531092784680796e+18,joshtpm,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rt @joshtpm: and there it is: mcconnell announces he wants to use the covid19 crisis to force blue states and municipalities into bankruptc,https://twitter.com/JamesKi53234032/status/1253122857267159040,JamesKi53234032,🤑,6,91,kelowna British Columbia,JamesKi53234032,182,False
25455,,Thu Apr 23 00:44:03 +0000 2020,,,,0,1253122429586509824,,,,en,1403,1.2530531098881188e+18,everywhereist,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rt @everywhereist: ""are you offering the people of las vegas as a control group?"" ""don't put words in my mouth. i'm saying i tried to off",https://twitter.com/__M1NG/status/1253122429586509824,__M1NG,UCD Alumna 🕊 • 🇸🇻🇵🇭,799,259,richmond ca,__M1NG,35443,False
1772,,Thu Apr 23 00:00:43 +0000 2020,,,,0,1253111524878684160,,,,en,314,1.2530062841206129e+18,PeterStefanovi2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rt @peterstefanovi2: in a virtual press briefing, eu commission spokesperson stefan de keersmaecker explained the uk government was a signa",https://twitter.com/pandeeep/status/1253111524878684160,pandeeep,Molecular Biology and Genetics Graduate,521,642,london,pandeeep,35685,False
26181,,Thu Apr 23 00:44:21 +0000 2020,Lebanon refugee COVID19,,,0,1253122504635428865,,,,en,30,1.2529314552416338e+18,Nadia_Hardman,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rt @nadia_hardman: as #lebanon announces its 1st #refugee case of #covid19, read @aya_majzoub &amp; my's opinion on how refugee policies must b",https://twitter.com/AMalegrooming/status/1253122504635428865,AMalegrooming,#Skin care#Aromatherapy#Aroma-steam#Micro#Nd Yag Laser#RF #Cavitation#Traditional Sugaring #Epilation#Sports Massage#Skin Peels,754,1231,london- earls court sw5,AMalegrooming,146535,False
28853,,Thu Apr 23 00:45:25 +0000 2020,Greece,,,0,1253122774022918145,,,,en,21,1.2528299433790587e+18,belkiswille,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rt @belkiswille: for older ppl or ppl w/ disabilities who queue for food, healthcare or sanitation on #greece's aegean islands, promises of",https://twitter.com/AMalegrooming/status/1253122774022918145,AMalegrooming,#Skin care#Aromatherapy#Aroma-steam#Micro#Nd Yag Laser#RF #Cavitation#Traditional Sugaring #Epilation#Sports Massage#Skin Peels,754,1231,london- earls court sw5,AMalegrooming,146535,False
1772,,Thu Apr 23 00:00:43 +0000 2020,,,,0,1253111524878684160,,,,en,314,1.2530062841206129e+18,PeterStefanovi2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rt @peterstefanovi2: in a virtual press briefing, eu commission spokesperson stefan de keersmaecker explained the uk government was a signa",https://twitter.com/pandeeep/status/1253111524878684160,pandeeep,Molecular Biology and Genetics Graduate,521,642,london,pandeeep,35685,False
