,coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_screen_name,user_description,user_followers_count,user_friends_count,user_location,user_screen_name.1,user_statuses_count,user_verified
9905,,Thu Apr 23 00:20:59 +0000 2020,オモ写 家にいるだけで世界は救える マーベルレジェン marvellegends mcu CaptainMarvel scarletwitch BlackWidow NatashaRomanoff pepperpotts wanda ScarlettJohansson Elisabetholsen StayHome,https://twitter.com/goldhawkickz13/status/1253116624418353153/photo/1,,0,1253116624418353153,goldhawkickz13,1.2531164150345114e+18,1018341289.0,und,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",# ## #marvellegends #mcu #captainmarvel #scarletwitch #blackwidow #natasharomanoff #pepperpotts #wanda #scarlettjohansson #elisabetholsen #stayhome https://t.co/jfi3s0yaav,https://twitter.com/goldhawkickz13/status/1253116624418353153,goldhawkickz13,"アニメ、仮面ライーダ、バスケ。
コンティニューしてでも,クリアする",49,144,canada,goldhawkickz13,17721,False
11828,,Thu Apr 23 00:21:46 +0000 2020,オモ写 家にいるだけで世界は救える マーベルレジェン marvellegends mcu CaptainMarvel scarletwitch BlackWidow NatashaRomanoff pepperpotts wanda ScarlettJohansson Elisabetholsen StayHome,https://twitter.com/goldhawkickz13/status/1253116821101830144/photo/1,,1,1253116821101830144,goldhawkickz13,1.2531166244183532e+18,1018341289.0,und,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",# ## #marvellegends #mcu #captainmarvel #scarletwitch #blackwidow #natasharomanoff #pepperpotts #wanda #scarlettjohansson #elisabetholsen #stayhome https://t.co/ecwigyjkgj,https://twitter.com/goldhawkickz13/status/1253116821101830144,goldhawkickz13,"アニメ、仮面ライーダ、バスケ。
コンティニューしてでも,クリアする",49,144,canada,goldhawkickz13,17721,False
30695,,Thu Apr 23 00:46:10 +0000 2020,,,,0,1253122962884100096,theJagmeetSingh,1.2529805233681572e+18,253340075.0,en,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@thejagmeetsingh ...wow...help me here....is there anybody in ottawa that has a clue...the comedy has worn thin...and you morons are starting to get on my nerves...please...stop social distancing....,https://twitter.com/Einstei12644119/status/1253122962884100096,Einstei12644119,No filter currently hate my country have been completely embarrassed to admit I am canadian since 2015...we need something different...trudeau is an idiot..,386,341,peoples republic of canada!,Einstei12644119,8622,False
327,,Thu Apr 23 00:00:06 +0000 2020,,,https://www.gq.com/story/las-vegas-polio-coronavirus,0,1253111369618030593,,,,en,0,,,"<a href=""https://extremedealsoftheday.com/"" rel=""nofollow"">WPTweetMachine81</a>","las vegas mayor, citing polio, wants to open casinos as a ""test case""  https://t.co/dsggtok5yk",https://twitter.com/ExtremeDeals81/status/1253111369618030593,ExtremeDeals81,Discover The Greatest Online Shopping Daily Deals!!!!!,1964,1724,"toronto, ontario",ExtremeDeals81,20090,False
4654,,Thu Apr 23 00:01:53 +0000 2020,,,https://twitter.com/DavidCornDC/status/1253086850497085441,0,1253111818219896840,,,,en,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","no, republicans don't give a damn! https://t.co/hyou0wraza",https://twitter.com/Vicnchrg4u/status/1253111818219896840,Vicnchrg4u,"GOP Congress/Trump are TRAITORS,
RUSSIAN OWNED!
 
Joe Biden!

Catholic, homo, unapologetic, live for God!
 Antifa=Anti Fascist=Patriotic✊ 🏳️‍🌈#BLM #WTP!",1517,1560,"#Resist, #Democrats 2020/NoDMs",Vicnchrg4u,38453,False
13266,,Thu Apr 23 00:22:21 +0000 2020,,,,3,1253116968959270913,GavinNewsom,1.2531151281966572e+18,11347122.0,en,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@gavinnewsom @mpinoe recall gavin newsom. you keep feeding the people the same bogus information every day with no action. this is all a political stunt you'll be sucking up to the fed soon enough once you dig the economy into the ground. didn't you say that you are not playing politics with covid?,https://twitter.com/AlecVotedTrump/status/1253116968959270913,AlecVotedTrump,,12,76,Democratic California,AlecVotedTrump,1380,False
16649,,Thu Apr 23 00:23:43 +0000 2020,mediaset fatesaltaretuttiinervidelcorpoumanotuttiinsieme taccivostri coronavirusitalia covid19,https://twitter.com/ValentinaSigyn/status/1253117312187629568/photo/1,,0,1253117312187629568,,,,it,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",cos. per dire. #mediaset @quimediaset_it #fatesaltaretuttiinervidelcorpoumanotuttiinsieme #taccivostri #coronavirusitalia #covid19 https://t.co/njabbmhxv8,https://twitter.com/ValentinaSigyn/status/1253117312187629568,ValentinaSigyn,Torinese. Puntigliosa. Testarda.,124,128,"Piemonte, Italia",ValentinaSigyn,5395,False
27752,,Thu Apr 23 00:45:01 +0000 2020,StayHomeSaveLives stayhome,,https://twitter.com/TZZToday/status/1253120532872077312,0,1253122673086877696,,,,en,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",my organization just cancelled a conference slated for second week of july good thing shes not in charge #stayhomesavelives #stayhome https://t.co/lyt4r1ejdq,https://twitter.com/joyz65/status/1253122673086877696,joyz65,"Special Ed educator, mother, grandmother, wife, mother in law, union thug, California School Employee Association Chapter President, Fremont CA #Stayhome 🏠",503,2258,"Fremont, CA",joyz65,82763,False
29917,,Thu Apr 23 00:45:53 +0000 2020,,,,0,1253122890704224264,IndianaMike75,1.2531002783180718e+18,1.1851499364231987e+18,en,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@indianamike75 he didn't say anything negative, he just said he would have followed the social distancing rules which are the president's rules it would be hard to go against his own rules. he said very positive things about the governor and said he campaigned for him.",https://twitter.com/ah121254/status/1253122890704224264,ah121254,"I support TRUMP, I respect Authority, I love my God, Family, and Country, my motto is [ˈpriːmũː noːn nɔˈkeːrɛ] ""First, do no harm""",10876,11243,#DemocratsAreDestroyingAmerica,ah121254,19085,False
6981,,Thu Apr 23 00:02:50 +0000 2020,,,,0,1253112057895010304,LateNightCam,1.2531098227755827e+18,16360663.0,en,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@latenightcam which part is the wet dream exactly  us residents acting like idiots  or the idiot probably spreading covid 19 to all those people.,https://twitter.com/pmedic04/status/1253112057895010304,pmedic04,"Dad, Husband, Paramedic, MOOC MBA achiever, marathoner, former Union Rep/Staff, Scotch and Bourbon lover. Opinion's are mine - RT's r not endorsements",439,712,Pickering,pmedic04,5418,False
